,Fiyat,Oda,Alan,Yas,Konum,Kat
0,1605,0,151,61,Adalar,11
1,516,0,16,38,Adalar,11
2,516,0,16,38,Adalar,11
3,854,0,269,0,Adalar,14
4,649,0,360,38,Adalar,0
5,1149,1,11,39,Adalar,11
6,1149,1,11,39,Adalar,11
7,881,0,339,67,Adalar,11
8,1588,1,11,43,Adalar,11
9,771,0,322,23,Adalar,5
10,1605,2,46,34,Adalar,11
11,1605,2,46,34,Adalar,11
12,1024,2,322,49,Adalar,11
13,1830,0,113,0,Adalar,11
14,2059,0,149,0,Adalar,15
15,771,0,322,23,Adalar,5
16,1830,0,113,0,Adalar,11
17,754,0,115,1,Adalar,1
18,1264,4,51,48,Adalar,11
19,322,1,332,49,Adalar,15
20,1297,0,366,23,Adalar,11
21,1648,1,329,39,Adalar,14
22,1648,1,329,39,Adalar,14
23,1432,0,339,64,Adalar,13
24,1578,0,184,60,Adalar,3
25,64,0,8,60,Adalar,17
26,414,0,6,34,Adalar,0
27,414,0,6,34,Adalar,0
28,1297,0,366,23,Adalar,11
29,2059,0,41,38,Adalar,13
30,1648,4,16,41,Adalar,11
31,673,4,26,60,Adalar,13
32,673,4,26,60,Adalar,13
33,1546,3,1,38,Adalar,11
34,209,4,87,60,Adalar,12
35,209,4,87,60,Adalar,12
36,348,3,31,39,Adalar,0
37,1648,0,322,12,Adalar,0
38,1963,0,95,44,Adalar,0
39,771,0,322,23,Adalar,5
40,881,2,338,60,Adalar,10
41,1916,0,36,27,Adalar,17
42,1702,0,41,51,Adalar,11
43,1223,0,16,39,Adalar,0
44,1223,0,16,39,Adalar,0
45,930,4,26,33,Adalar,13
46,1162,3,1,8,Adalar,0
47,930,4,26,33,Adalar,13
48,1488,0,51,71,Adalar,14
49,1721,0,6,40,Adalar,11
50,1721,0,350,43,Adalar,0
51,298,0,91,60,Adalar,14
52,298,0,91,60,Adalar,14
53,1789,4,366,0,Adalar,18
54,1789,4,366,0,Adalar,18
55,414,0,1,60,Adalar,0
56,2,4,26,60,Adalar,2
57,608,2,160,0,Adalar,19
58,1693,2,71,27,Adalar,13
59,1916,0,36,27,Adalar,17
60,54,0,79,43,Adalar,14
61,1264,4,51,48,Adalar,11
62,2150,0,6,60,Adalar,14
63,991,0,1,81,Adalar,13
64,881,1,1,8,Adalar,11
65,387,0,315,60,Adalar,11
66,991,0,1,81,Adalar,13
67,1104,4,347,60,Adalar,13
68,1717,3,51,31,Adalar,13
69,1104,4,347,60,Adalar,13
70,753,4,262,0,Adalar,17
71,753,4,262,0,Adalar,17
72,753,4,262,0,Adalar,17
73,1677,4,41,43,Adalar,0
74,1317,0,353,47,Adalar,11
75,753,4,262,0,Adalar,17
76,1495,0,36,38,Adalar,13
77,758,1,329,39,Adalar,0
78,1697,0,61,38,Adalar,11
79,1488,1,41,33,Adalar,11
80,1693,4,21,39,Adalar,13
81,1690,1,176,3,Adalar,13
82,1238,1,1,78,Adalar,15
83,1238,1,1,78,Adalar,15
84,451,0,35,48,Adalar,11
85,925,0,121,39,Adalar,13
86,1024,0,347,0,Adalar,13
87,451,1,353,60,Adalar,11
88,1197,0,171,60,Adalar,13
89,1702,1,51,49,Adalar,11
90,187,3,131,1,Adalar,15
91,1009,0,339,23,Adalar,2
92,1009,0,339,23,Adalar,2
