,Fiyat,Oda,Alan,Yas,Konum,Kat
0,1605,0,151,61,Adalar,0
1,516,0,16,38,Adalar,0
2,516,0,16,38,Adalar,0
3,854,0,269,0,Adalar,0
4,649,0,360,38,Adalar,0
5,1149,1,11,39,Adalar,0
6,1149,1,11,39,Adalar,0
7,881,0,339,67,Adalar,0
8,1588,1,11,43,Adalar,0
9,771,0,322,23,Adalar,1
10,1605,2,46,34,Adalar,0
11,1605,2,46,34,Adalar,0
12,1024,2,322,49,Adalar,0
13,1830,0,113,0,Adalar,0
14,2059,0,149,0,Adalar,0
15,771,0,322,23,Adalar,1
16,1830,0,113,0,Adalar,0
17,754,0,115,1,Adalar,1
18,1264,4,51,48,Adalar,0
19,322,1,332,49,Adalar,0
20,1297,0,366,23,Adalar,0
21,1648,1,329,39,Adalar,0
22,1648,1,329,39,Adalar,0
23,1432,0,339,64,Adalar,0
24,1578,0,184,60,Adalar,1
25,64,0,8,60,Adalar,0
26,414,0,6,34,Adalar,0
27,414,0,6,34,Adalar,0
28,1297,0,366,23,Adalar,0
29,2059,0,41,38,Adalar,0
30,1648,4,16,41,Adalar,0
31,673,4,26,60,Adalar,0
32,673,4,26,60,Adalar,0
33,1546,3,1,38,Adalar,0
34,209,4,87,60,Adalar,1
35,209,4,87,60,Adalar,1
36,348,3,31,39,Adalar,0
37,1648,0,322,12,Adalar,0
38,1963,0,95,44,Adalar,0
39,771,0,322,23,Adalar,1
40,881,2,338,60,Adalar,1
41,1916,0,36,27,Adalar,0
42,1702,0,41,51,Adalar,0
43,1223,0,16,39,Adalar,0
44,1223,0,16,39,Adalar,0
45,930,4,26,33,Adalar,0
46,1162,3,1,8,Adalar,0
47,930,4,26,33,Adalar,0
48,1488,0,51,71,Adalar,0
49,1721,0,6,40,Adalar,0
50,1721,0,350,43,Adalar,0
51,298,0,91,60,Adalar,0
52,298,0,91,60,Adalar,0
53,1789,4,366,0,Adalar,0
54,1789,4,366,0,Adalar,0
55,414,0,1,60,Adalar,0
56,2,4,26,60,Adalar,1
57,608,2,160,0,Adalar,0
58,1693,2,71,27,Adalar,0
59,1916,0,36,27,Adalar,0
60,54,0,79,43,Adalar,0
61,1264,4,51,48,Adalar,0
62,2150,0,6,60,Adalar,0
63,991,0,1,81,Adalar,0
64,881,1,1,8,Adalar,0
65,387,0,315,60,Adalar,0
66,991,0,1,81,Adalar,0
67,1104,4,347,60,Adalar,0
68,1717,3,51,31,Adalar,0
69,1104,4,347,60,Adalar,0
70,753,4,262,0,Adalar,0
71,753,4,262,0,Adalar,0
72,753,4,262,0,Adalar,0
73,1677,4,41,43,Adalar,0
74,1317,0,353,47,Adalar,0
75,753,4,262,0,Adalar,0
76,1495,0,36,38,Adalar,0
77,758,1,329,39,Adalar,0
78,1697,0,61,38,Adalar,0
79,1488,1,41,33,Adalar,0
80,1693,4,21,39,Adalar,0
81,1690,1,176,3,Adalar,0
82,1238,1,1,78,Adalar,0
83,1238,1,1,78,Adalar,0
84,451,0,35,48,Adalar,0
85,925,0,121,39,Adalar,0
86,1024,0,347,0,Adalar,0
87,451,1,353,60,Adalar,0
88,1197,0,171,60,Adalar,0
89,1702,1,51,49,Adalar,0
90,187,3,131,1,Adalar,0
91,1009,0,339,23,Adalar,1
92,1009,0,339,23,Adalar,1
93,709,4,277,27,Adalar,0
94,2039,2,252,1,Adalar,0
95,187,3,131,1,Adalar,0
96,1626,0,151,38,Adalar,0
97,1264,4,21,60,Adalar,0
98,1897,1,359,40,Adalar,0
99,1197,0,171,60,Adalar,0
100,1690,1,176,3,Adalar,0
101,1143,0,41,30,Adalar,0
102,1143,0,41,30,Adalar,0
103,1401,0,6,38,Adalar,0
104,1432,0,104,27,Adalar,0
105,1743,4,56,75,Adalar,0
106,147,0,353,32,Adalar,0
107,2,0,21,38,Adalar,0
108,451,1,353,60,Adalar,0
109,958,0,167,0,Adalar,0
110,451,1,353,60,Adalar,0
111,1432,0,104,27,Adalar,0
112,462,0,347,40,Adalar,0
113,451,1,353,60,Adalar,0
114,1317,0,15,81,Adalar,0
115,1317,0,15,81,Adalar,0
116,1432,0,104,27,Adalar,0
117,1432,0,104,27,Adalar,0
118,1897,1,359,40,Adalar,0
119,56,1,101,30,Adalar,0
120,56,1,101,30,Adalar,0
121,1476,0,81,4,Adalar,0
122,560,1,121,0,Adalar,0
123,560,1,121,0,Adalar,0
124,1546,1,1,38,Adalar,0
125,1897,3,51,40,Adalar,0
126,902,0,46,15,Adalar,0
127,902,0,46,15,Adalar,0
128,1693,4,51,39,Adalar,0
129,232,0,360,60,Adalar,0
130,1710,1,1,48,Adalar,0
131,1382,2,11,54,Adalar,0
132,1382,2,11,54,Adalar,0
133,1743,2,19,53,Adalar,0
134,1488,1,41,33,Adalar,0
135,148,4,71,27,Adalar,0
136,148,4,71,27,Adalar,0
137,1731,1,16,66,Adalar,0
138,1149,4,21,0,Adalar,0
139,1149,4,21,0,Adalar,0
140,1149,4,21,0,Adalar,0
141,1040,4,141,2,Adalar,1
142,1040,4,141,2,Adalar,1
143,1979,2,62,4,Adalar,0
144,1488,0,360,38,Adalar,0
145,1809,0,26,60,Adalar,0
146,902,4,51,48,Adalar,0
147,1468,0,16,0,Adalar,0
148,1113,3,353,0,Adalar,0
149,1640,3,61,50,Adalar,0
150,1951,2,71,39,Adalar,0
151,388,3,51,43,Adalar,0
152,1476,0,81,4,Adalar,0
153,1706,1,111,60,Adalar,0
154,550,1,41,17,Adalar,0
155,1476,0,81,4,Adalar,0
156,1476,0,81,4,Adalar,0
157,1149,4,21,0,Adalar,0
158,1180,0,16,0,Adalar,0
159,1476,0,21,43,Adalar,0
160,1596,0,339,0,Adalar,0
161,1264,2,151,60,Adalar,0
162,1444,0,71,0,Adalar,0
163,853,0,1,43,Adalar,0
164,853,0,1,43,Adalar,0
165,2008,0,128,43,Adalar,0
166,1685,0,68,0,Adalar,0
167,771,1,360,16,Adalar,0
168,132,1,193,39,Adalar,0
169,97,0,41,60,Adalar,0
170,1444,0,71,0,Adalar,0
171,511,0,136,33,Adalar,0
172,2083,0,11,23,Adalar,0
173,1982,0,76,38,Adalar,0
174,1285,4,357,0,Adalar,0
175,1285,4,357,0,Adalar,0
176,5,0,41,38,Adalar,0
177,963,1,353,81,Adalar,0
178,511,0,136,33,Adalar,0
179,1068,1,6,71,Adalar,0
180,834,3,33,4,Adalar,0
181,1936,1,61,38,Adalar,0
182,1951,0,16,0,Adalar,0
183,1997,0,39,39,Adalar,0
184,323,0,56,2,Adalar,1
185,1721,0,360,43,Adalar,0
186,880,0,31,0,Adalar,0
187,1246,0,1,78,Adalar,0
188,323,4,175,49,Adalar,0
189,136,0,41,78,Adalar,0
190,880,0,31,0,Adalar,0
191,1264,0,16,0,Adalar,0
192,1285,0,362,60,Adalar,0
193,1921,4,101,39,Adalar,0
194,1285,0,362,60,Adalar,0
195,1409,0,370,45,Adalar,0
196,971,0,41,38,Adalar,0
197,1432,0,41,12,Adalar,0
198,1285,0,362,60,Adalar,0
199,323,0,56,2,Adalar,1
200,1936,4,11,0,Adalar,0
201,1874,0,11,23,Adalar,1
202,1596,0,61,35,Adalar,0
203,233,0,193,38,Adalar,0
204,649,1,366,23,Adalar,0
205,232,0,46,38,Adalar,0
206,834,1,11,49,Adalar,0
207,148,4,41,4,Adalar,0
208,148,4,41,4,Adalar,0
209,1596,0,61,35,Adalar,0
210,232,0,46,38,Adalar,0
211,148,1,12,48,Adalar,0
212,1693,0,332,54,Adalar,0
213,1721,0,31,49,Adalar,0
214,1982,0,220,32,Adalar,0
215,709,0,81,49,Adalar,0
216,709,0,81,49,Adalar,0
217,709,0,81,49,Adalar,0
218,1841,0,31,37,Adalar,1
219,2143,0,21,50,Adalar,0
220,1223,0,46,29,Adalar,0
221,1874,0,11,23,Adalar,1
222,1884,1,21,38,Adalar,0
223,1562,1,11,0,Adalar,0
224,1562,1,11,0,Adalar,0
225,1570,1,41,43,Adalar,0
226,1570,1,41,43,Adalar,0
227,1897,1,6,0,Adalar,0
228,2087,1,81,40,Adalar,0
229,649,1,366,23,Adalar,0
230,1562,1,11,0,Adalar,0
231,1149,1,6,60,Adalar,1
232,1149,1,6,60,Adalar,1
233,1822,0,36,34,Adalar,0
234,2143,4,41,32,Adalar,0
235,232,0,46,38,Adalar,0
236,1738,4,61,0,Adalar,0
237,1382,1,36,32,Adalar,0
238,1562,1,11,0,Adalar,0
239,323,0,56,2,Adalar,1
240,930,0,360,24,Adalar,0
241,1951,0,16,0,Adalar,0
242,1317,0,360,43,Adalar,0
243,1743,3,347,4,Adalar,0
244,930,4,41,17,Adalar,0
245,1024,0,360,32,Adalar,0
246,930,4,41,17,Adalar,0
247,1669,2,44,60,Adalar,0
248,1317,0,334,64,Adalar,0
249,1317,0,360,43,Adalar,0
250,1669,2,44,60,Adalar,0
251,1857,0,56,31,Adalar,0
252,2143,0,81,38,Adalar,0
253,1648,0,121,0,Adalar,0
254,413,0,41,0,Adalar,1
255,413,0,41,0,Adalar,1
256,413,0,41,0,Adalar,1
257,1125,0,259,39,Adalar,0
258,1857,0,56,31,Adalar,0
259,1546,2,31,38,Adalar,0
260,1648,1,71,37,Adalar,1
261,1743,3,347,4,Adalar,0
262,1124,3,41,27,Adalar,0
263,1382,2,360,49,Adalar,0
264,74,2,91,4,Adalar,0
265,74,2,91,4,Adalar,0
266,387,4,347,49,Adalar,0
267,387,4,347,49,Adalar,0
268,1223,0,21,39,Adalar,0
269,1789,0,74,69,Adalar,0
270,1641,4,61,50,Adalar,0
271,431,0,56,46,Adalar,0
272,414,0,56,23,Adalar,1
273,278,1,1,60,Adalar,0
274,414,0,56,23,Adalar,1
275,811,0,353,60,Adalar,0
276,930,1,41,32,Adalar,0
277,1611,3,101,61,Adalar,0
278,33,0,11,27,Adalar,0
279,1546,2,31,38,Adalar,0
280,1933,2,16,45,Adalar,0
281,1830,0,21,43,Adalar,0
282,1422,4,61,39,Adalar,0
283,322,4,353,1,Adalar,0
284,322,4,353,1,Adalar,0
285,821,1,31,8,Adalar,0
